Categories,ProductName,Price,Ingredients,NutritionalFacts,Illness
InstantNoodles,NongShimNeoguriSpicySeafood 120-g,48,"Enriched Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Hydrochloride, Riboflavin, Folic Acid), Potato Starch, Palm Oil, Modified Potato Starch, Salt, Contains less than 2% of: Anchovy Extract (Powder), Black Pepper (Powder), Bonito Extract (Powder), Clam Extract (Powder), Corn Starch, Cuttlefish Extract (Powder), Dextrose Disodium Guanylate, Disodium Inosinate, Disodium Succinate, Dried Flakes (Seaweeds, Carrot), D-Sorbitol, Garlic (Powder), Gum Arabic, High Fructose Corn Syrup, Hydrolyzed Soy Protein, Maltodextrin, Modified Corn Starch, Modified Tapioca Starch, Mussel Extract (Powder), Natural Flavors, Oligosaccharides, Onion (Powder), Polyglycerol Esters of Fatty Acids, Potassium Carbonate, Red Chili Pepper (Powder), Rice Flour, Shrimp Extract (Powder), Sodium Carbonate, Sodium Phosphate, Soy Lecithin, Soy Sauce (Powder) (Soy, Wheat, Salt), Sugar, Sunflower Oil, Tocopherols (Antioxidant), Tuna Extract, Wheat Gluten, Yeast Extract, Yellow Corn Flour.","Calories(260), TotalFat(8g), SatFat(3.5g), TransFat(0g), Cholesterol(0g), Sodium(1.01g), TCarbs(42g), DietFbr(1g), Tsugar(2g), Protein(4g), VitA(0%), VitC(0%), Calcium(0%), Iron(8%)","Hypertension, Diabetes, Skin Diseases"
InstantNoodles,NongShimNeoguriSpicySeafood 120-g 5pack,230,"Enriched Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Hydrochloride, Riboflavin, Folic Acid), Potato Starch, Palm Oil, Modified Potato Starch, Salt, Contains less than 2% of: Anchovy Extract (Powder), Black Pepper (Powder), Bonito Extract (Powder), Clam Extract (Powder), Corn Starch, Cuttlefish Extract (Powder), Dextrose Disodium Guanylate, Disodium Inosinate, Disodium Succinate, Dried Flakes (Seaweeds, Carrot), D-Sorbitol, Garlic (Powder), Gum Arabic, High Fructose Corn Syrup, Hydrolyzed Soy Protein, Maltodextrin, Modified Corn Starch, Modified Tapioca Starch, Mussel Extract (Powder), Natural Flavors, Oligosaccharides, Onion (Powder), Polyglycerol Esters of Fatty Acids, Potassium Carbonate, Red Chili Pepper (Powder), Rice Flour, Shrimp Extract (Powder), Sodium Carbonate, Sodium Phosphate, Soy Lecithin, Soy Sauce (Powder) (Soy, Wheat, Salt), Sugar, Sunflower Oil, Tocopherols (Antioxidant), Tuna Extract, Wheat Gluten, Yeast Extract, Yellow Corn Flour.","Calories(260), TotalFat(8g), SatFat(3.5g), TransFat(0g), Cholesterol(0g), Sodium(1.01g), TCarbs(42g), DietFbr(1g), Tsugar(2g), Protein(4g), VitA(0%), VitC(0%), Calcium(0%), Iron(8%)","Hypertension, Diabetes, Skin Diseases"
InstantNoodles,PaldoPororoJjajangCup 65-g,74,"Noodles: Wheat flour, modified potato starch, palm oil, potato starch, wheat gluten, emulsified oil, sunflower seed oil, lecithin (soy), salt, vegetable extract, garlic, onion, alkaline agent, potassium carbonate, sodium carbonate, sodium phosphate, guar gum, canola oil. Soup: Black bean powder, black soybean, wheat, monosodium glutamate, onion, sugar, onion powder, glucose, salt, seasoning, soy sauce (soy, wheat, salt), garlic, corn syrup, yeast extract, maltodextrin, salt, sodium ribonucleotides, flavor enhancer (monosodium glutamate), soy sauce powder (wheat, soy, salt). Flakes: Dried cabbage, soy protein, dried bok choy","Calories(290), TotalFat(10g), SatFat(4.5g), TransFat(0g), Cholesterol(0g), Sodium(0.6g), TCarbs(46g), DietFbr(2g), Tsugar(5g), Protein(5g), VitA(0%), VitC(0%), Calcium(0%), Iron(0.6%), Potassium(0.129g)","Hypertension, Diabetes, Skin Diseases"
InstantNoodles,NongShimShinRamyunHNS 114-g big cup,60,"Noodles: Wheat flour, potato starch, vegetable oil (contains antioxidant (307B)), salt, hydrolyzed vegetable protein (soy), mineral salts (501, 500, 452, 339), yeast extract, emulsifier (322, (soy)), green tea extract. Soup powder: Hydrolyzed vegetable protein (soy), maltodextrin, flavour enhancers (627, 621, 631), salt, yeast extract, vegetables, glucose, sugar, spices, soy sauce, soybean, vegetable oils (contain soy), starches (tapioca, potato), wheat flour, fructose, thickener (414), sweetener (420), corn flour, kelp, emulsifier (322, soy). Flakes: Dried vegetables, soybean, wheat, gluten, soy sauce, glucose.","Calories(240), TotalFat(7g), SatFat(3g), TransFat(0g), Cholesterol(0g), Sodium(1.3g), TCarbs(39g), DietFbr(2g), Tsugar(5g), Protein(5g), VitA(0%), VitC(0%), Calcium(0%), Iron(2%)","Hypertension, Diabetes, Skin Diseases"
InstantNoodles,NongShimSpicyShrimpCup 115-g,60,"Noodles: Wheat Flour, Potato Starch, Palm Oil, Salt. Flavour Sachet: Shrimp (Crustaceans) Seasoning. Salt, Flavour Enhancer (E631), Cuttlefish (Molluscs) Seasoning, Sugar, Spices, Soy Sauce Powder, Paprika Powder, Hot Seasoning, Fried Pepper Paste Powder, Corn Flour. Vegetables: Fish Flake, Fish Flake (Shrimp (Crustaceans) Flavoured), Dried Green Onion, Dried Seaweed, Dried Shrimp (Crustaceans), Dried Carrot. May also contain Barley, Crustaceans, Eggs, Fish, Peanuts, Milk, Celery, Mustard, Sesame seeds and Molluscs due to handing and manufacturing in the same facility.","Calories(290), TotalFat(10g), SatFat(5g), TransFat(0g), Cholesterol(0g), Sodium(1.55g), TCarbs(43g), DietFbr(0g), Tsugar(3g), Protein(6g), VitA(0%), VitC(0%), Calcium(0%), Iron(8%)","Hypertension, Diabetes, Skin Diseases"
InstantNoodles,NongShimTempuraUdonCup 111-g big,60,"Wheat Flour, Palm Oil, Potato Starch, Modified Potato Starch, Salt, Pollock, Contains 2% or Less of Each of The Following: Anchovy (Fish), Beta-Carotene(Colour), Black Pepper, Bonito (Fish), Cabbage, Caramel(Colour), Carrot, Corn Syrup, Dextrin, Dextrose, Disodium Guanylate, Disodium Inosinate, Disodium Succinate, D-Sorbitol, Garlic, Green Onion, Gum Arabic, Hydrolyzed Vegetable, Glutamate, Mushroom, Onion, Polyglycerol Esters of Fatty Acids, Potassium Carbonate, Radish, Red Pepper, Riboflavin(Colour), Rice Bran Oil, Seaweed, Sodium Carbonate, Sodium Phosphate, Soy beans, Sugar, TBHQ (Antioxidant), Tocopherols, Tuna (Fish), Wheat Starch, Yeast Extract.","Calories(280), TotalFat(12g), SatFat(6g), TransFat(0g), Cholesterol(0.005g), Sodium(1.26g), TCarbs(39g), DietFbr(2g), Tsugar(3g), Protein(4g), VitA(0%), VitC(0%), Calcium(0%), Iron(8%)","Hypertension, Diabetes, Skin Diseases"
InstantNoodles,SamyangBulgogi 140-g,70,"Noodle: Wheat Flour, Modified Tapioca Starch, Refined Palm Oil, Wheat Gluten, Refined Salt, Glycerin, Soybean Oil, Thickener (Guar Gum (E412)), Purified Water, Acidity Regulator (Potassium Carbonate Anhydrous (E501(i)), Sodium Carbonate (E500), Sodium Phosphate Dibasic (E339(ii)), Citric Acid (E330)), Emulsifier (Lecithin (E322(i))), Green Tea Flavour Oil. Soup: Soy Sauce Powder, White Sugar, Yeast Extract Powder, Flavour Enhancer (Monosodium L-Glutamate (E621)), Textured Soy Protein, Dried Onion, Caramel Powder, Salt, Dehydrated Chives, Roasted Sesame, Onion Powder, Garlic Powder, Non Dairy Creamer, Black Pepper Powder, Soybean Oil, Dried Red Pepper, Paprika Extract.","Calories(590), TotalFat(21g), SatFat(8g), TransFat(0g), Cholesterol(0g), Sodium(2.09g), TCarbs(86g), DietFbr(3g), Tsugar(14g), Protein(13g), VitA(0%), VitC(0%), Calcium(2%), Iron(8%), Potassium(0.37g)","Hypertension, Diabetes, Skin Diseases"
PowderedJuice,TangPineappleInstantDrinkMixSachet 19-g,22,"Refined Cane Sugar, Acidity Regulator (Citric Acid), Stabilizer (Sodium Carboxymethylcellulose), Artificial Sweeteners (Aspartame, Acesulfame Potassium), Anti-Caking Agent (Calcium Phosphate), Flavor Enhancer (Sodium Chloride), Natural, Nature-Identical and Artificial Pineapple Flavor, Vitamins and MIneral (Vitamin C, ZInc, Vitamin D), Titanium Dioxide as Color, Powdered Pineapple Extract and Artificial Colors (Tartrazine, Allura Red, Brilliant Blue and Sunset Yellow) Phynelketonurics: Contains Phenylalanine","Calorie(20),TotalFat(0g), SatFat(0g), TransFat(0g), Cholesterol(0g), Sodium(1.04g), TCarbs(4g), DietFbr(1g),  Tsugar(3g), Protein(0g), VitC(100%), VitD(30%) Calcium(0%), Iron(30%)",Diabetes
PowderedJuice,TangHoneyLemonInstantDrinkMixSachet 19-g,22,"Refined Cane Sugar, Acidity Regulator (Citric Acid), Artificial Sweeteners (Aspartame*, Acesulfame Potassium), Anti-Caking Agent (Calcium Phosphate), Natural and Natural-Identical Lemon Flavor, Stabilizer (Sodium Carboxymethycellulose), Flavor Enhancer (sodium Chloride), Vitamin C, Titanium Dioxide as Color, Powdered Lemon Extract,  Artificial Colors (Tartrazine), and Natural and Nature-Identical Honey Flavor, Phynelketonurics: Contains Phenylalanine","Calorie(20),TotalFat(0g), SatFat(0g), TransFat(0g), Cholesterol(0g), Sodium(1.04g), TCarbs(4g), DietFbr(1g),  Tsugar(3g), Protein(0g), VitC(100%), VitD(30%) Calcium(0%), Iron(30%)",Diabetes
PowderedJuice,TangPomeloInstantDrinkMixSachet 19-g,21,"Refined Cane Sugar, Acidity Regulator (Citric Acid), Stabilizer (Xathan Gum), Anti-Caking Agent (Calcium Phosphate), Acidity Regulator (Citric Acid), Artificial Sweeteners (Aspartame*, Acesulfame Potassium), Vitamins and Mineral (Vitamin C, ZInc, Vitamin D), Natural, Nature-Identical and Artificial Melon Flavor, Powdered Melon Extract, Artificial Colors (Tartrazine, Allura Red, Sunset Yellow, Brilliant Blue), Titanium Dioxide as Color, Phynelketonurics: Contains Phenylalanine","Calorie(20),TotalFat(0g), SatFat(0g), TransFat(0g), Cholesterol(0g), Sodium(1.04g), TCarbs(4g), DietFbr(1g),  Tsugar(3g), Protein(0g), VitC(100%), VitD(30%) Calcium(0%), Iron(30%)",Diabetes
