Categories,ProductName,Price,Ingredients,NutritionFacts,,,,,,,,,,,
Junk Foods,CrissCrossSweetCorn 64-g,23,"Wheat Flour, Vegetable Oil, Dehydrated Potato, Tapioca Starch, Cornstarch, Sweet Com Powder, Sugar, Dextrose Powder, Iodized Salt, Onion, Hydrolyzed Vegetable Protein, Sodium Bicarbonate (E500), Monocalcium Phosphate (E341i) and Sodium Acid Pyrophosphate (E450) as Leavening Agents, Maltodextrin, Monosodium Glutamate (E621) and Disodium 5-Ribonucleotide (E635) as Flavor Enhancer, Artificial Sweet Corn Flavor, Sucralose as Artificial Sweetener, Tartrazine (El 02) as Artificial food Color, Contains: Wheat and Soy","Calories(100), TotalFat(5g), SatFat(0g), TransFat(0g), Cholesterol(0mg), Sodium(190mg), TCarbs(13g), DietFbr(0g),  Tsugar(2g), Protein(1g), VitA(0%),  VitC(0%), Calcium(2%), Iron(2%)",,,,,,,,,,,
Junk Foods,CrissCrossCheesySourCream&Onion 64-g,23,"Wheat Flour, Vegetable Oil, Dehydrated Potato, Tapioca Starch, Cornstarch, Whey Powder, Maltodextrin, Spices (Onion Powder, Garlic Powder), Iodized Salt, Skim Milk Powder, Sugar, Hydrolyzed Vegetable Protein, Sodium Bicarbonate (E500), Monocalcium Phosphate (E341i), and Sodium Acid Pyrophosphate (E450) as Leavening Agents, Citric Acid (E330) annd Lactic Acid (E270) as Acidulant, Disodium 5'-Ribonucleotide (E635), as Flavor Enhancer, Artificial Soy Cream Flavor, Sucralose as Artificial Sweetener, Tartrazine (E102), as Artificial Food Color ","Calories(100), TotalFat(5g), SatFat(2.5g), TransFat(0g), Cholesterol(0mg), Sodium(250mg), TCarbs(13g), DietFbr(0g),  Tsugar(1g), Protein(3g), VitA(0%),  VitC(0%), Calcium(2%), Iron(4%)",,,,,,,,,,,
Junk Foods,CrissCrossClassicPotato 64-g,23,"Wheat Flour, Vegetable Oil, Dehydrated Potato, Tapioca Starch, Cornstarch, Sugar, Onion, Iodized Salt Hydrolyzed Vegetable Protein, Sodium Bicarbonate (E500), Monocalcium Phosphate (E341i), and Sodium Acid Pyrophosphate (E450) as Leavening Agents, Skim Milk Powder, Monosodium Glutamate (E621) as Flavor Enhancer, Maltodextrin, Artificial Potato Flavor, Sucralose as Artificial Sweetener, Tartrazine (E102), Artificial Food Color and Disodium 5'-Ribonucleotide (E635) as Flavor Enhance, Contains Corn, Soy, and Milk","Calories(100), TotalFat(5g), SatFat(3.5g), TransFat(0g), Cholesterol(0mg), Sodium(170mg), TCarbs(13g), DietFbr(0g),  Tsugar(1g), Protein(1g), VitA(0%),  VitC(0%), Calcium(2%), Iron(2%)",,,,,,,,,,,
Junk Foods,CrissCrossCrmyChz 64-g,23,"Wheat Flour, Vegetable Oil (Palm Olein), Dehydrated Potato, Starch, Cheese Powder [Whey Powder, Cheese, Sunflower Oil, Disodium Phosphate (E339iii) as Stabilizer, Sunset Yellow (E110) as adtificial color, Lactic Acid (E270) as acidulant], Sugar, Spices, Iodized Salt, Hydrolyzed Vegetable Protein [Defatted Soybean, Maltodexitrin, Monosodium Glutamate (E6210) and Disodium 5'-Ribonucleotides (E635) as flavor enchancers, Caramel III (e150c) as natural color, Tricalcium Phosphate (E341iii)  as anticaking agent], Leavening Agents {Sodium Bicarbonate (E500ii), Monocalcium Phosphate (E341i), Sodium Acid Pyrophosphate (E330) as Tartrazine (E102) as artificial color, Citric Acid (E330) as acidulant, Artificial Flavor Sucralose (E955) as sweetener ","Calories(150), TotalFat(8g), SatFat(4.5g), TransFat(0g), Cholesterol(0mg), Sodium(290mg), TCarbs(19g), DietFbr(0g),  Tsugar(2g), Protein(2g), Calcium(35.1%), Iron(0.034%)",,,,,,,,,,,
Junk Foods,CrissCrossCrmyChzSourCream&Onion 64-g,23,"Wheat Flour, Vegetable Oil (Palm Olein), Dehydrated Potato, Starch, Milk Powder (Whey, Skim Milk), Spices, Iodized Salt, Sugar Hydrolyzed Vegetable protein [Defatted Soybean, Maltodextrin, Monosodium Gutamate(E621) and Disodium 5'-Ribonucleotides (E635) as flavor enhancers, Caremel III (E150c) as natural color, Tricalcium Phosphate (E341iii) as anticaking agent], Dehydrated Chives, Leavening Agents [ Sodium Bicarbonate (E500ii), Monocalcium Phosphate (E341i), Sodium Acid Pyrophosephate (E450i))} Acidulants {Citric Acid (E330), Lactic Acid {E270}, Artificial Flavor, Sucralose (E955) as sweetener, tartrazine (E102) as artificial color","Calories(150), TotalFat(7g), SatFat(3.5g), TransFat(0g), Cholesterol(0mg), Sodium(380mg), TCarbs(19g), DietFbr(0g),  Tsugar(2g), Protein(2g), Calcium(39.04%), Iron(0.64mg)",,,,,,,,,,,
Junk Foods,PringlesOriginal 149-g,113,"Dried Potatoes, Vegetable Oil (Corn, Cottonseed, High Oleic Soybean, and/or Sunflower Oil), Degerminated Yellow Corn Flour, Cornstarch, Rice Flour, Maltodextrin, Mono- And Diglycerides, Salt, Wheat Starch","Calories(523), TotalFat(7g), SatFat(12.3g), TransFat(0.1g), Carbohydrate(62.8g), Cholesterol(0mg), Sodium(469mg), TCarbs(61.3g), DietFbr(3.3g),  Tsugar(2.0g), Protein(5.1g), VitD(0%), Calcium(0%), Potassium(0mg), Iron(0%)",,,,,,,,,,,
Junk Foods,PringlesCheddarCheese 149-g,113,"Dried Potatoes, Vegetable Oil (Corn, Cottonseed, High Oleic Soybean, and/or Sunflower Oil), Degerminated Yellow Corn Flour, Cornstarch, Rice Flour, Maltodextrin, Mono- And Diglycerides, Contains 2% Or Less Of Whey, Salt, Monosodium Glutamate, Coconut Oil, Sugar Natural Flavors, Onion Powder, Citric Acid, Cheddar Cheese (Pasteurized Milk, Cheese Cultures, Salt, Enzymes), Blue Cheese (Pasteurized Milk, Cheese Cultures, Salt, Enzymes), Buttermilk, Butter (Cream, Salt), Lactic Acid, Nonfat Milk, Paprika Extract Color, Disodium Inosinate, Disodium Guanylate Turmeric Extract Color,  Yeast Extract, Autolyzed Yeast Extract, Wheat Starch","Calories(523), TotalFat(7g), SatFat(2g), TransFat(0.1g), Carbohydrate(61.3g), Cholesterol(0mg), Sodium(638mg), TCarbs(61.3g), DietFbr(3.3g),  Tsugar(2.0g), Protein(5.0g), VitD(0%), Calcium(0%), Potassium(0mg), Iron(0%)",,,,,,,,,,,
Junk Foods,PringlesSourCream&Onion 149-g,113,"Dried Potatoes, Vegetable Oil (Corn, Cottonseed, High Oleic Soybean, and/or Sunflower Oil), Degerminated Yellow Corn Flour, Cornstarch, Rice Flour, Maltodextrin, Mono- And Diglycerides, Contains 20/0 Or Less Of Salt, Whey, Sour Cream (Cream, Nonfat Milk, Cultures , Monosodium Glutamate, Onion Powder, Coconut O L, Dextrose, Sugar, Natural Flavors, Nonfat Milk, Citric Acid, Sodium Caseinate, Lactic Acid, Yeast Extract, Disodium Inosinate, Disodium Guanylate, Buttermilk, Malic Acid, Invert Sugar, Cultured Nonfat Milk, Cream, Wheat Starch, Contains Milk And Wheat Ingredients","Calories(515), TotalFat(27.3g), SatFat(12.1g), TransFat(0.1g), Carbohydrate(61.7g), Cholesterol(0mg), Sodium(160mg), TCarbs(21g), DietFbr(3.0g),  Tsugar(2.3g), Protein(5.6g), VitA(0%), VitC(0%), Calcium(0%), Iron(0%)",,,,,,,,,,,
Junk Foods,TostasChz&BBQ 100-g,28,"Corn Meal, Vegetable Oil (Palm Oil), Cheese Flavoring (Whey, Cheddar Cheese, Buttermilk, Salt, Natural Flavor, Artificial Flavor, Color (Yellow 5, Yellow 6)), BBQ Seasoning (Sugar, Salt, Spices (including Paprika), Dextrose, Monosodium Glutamate, Tomato Powder, Onion Powder, Garlic Powder, Smoke Flavor, Natural Flavor), Salt, Dextrose, Disodium Inosinate and Disodium Guanylate, Color (Red 40, Yellow 6)","Calories(245), TotalFat(14.7), SatFat(2.5g), TransFat(0), Cholesterol(0), Sodium(320mg), TCarbs(29), DietFbr(2),  Tsugar(3), Protein(3), VitA(0), VitC(0),  Calcium(0), Iron(0)",,,,,,,,,,,
Junk Foods,TostasChz&BBQ 49-g,16,"Corn, Vegetable Oil (Palm Oil), Cheese Powder (Milk Solids, Cheese Solids, Whey, Buttermilk Solids, Salt, Lactic Acid, Natural Flavor, Artificial Flavor, and Color [Yellow 5, Yellow 6]), BBQ Seasoning (Sugar, Salt, Tomato Powder, Maltodextrin, Onion Powder, Garlic Powder, Natural Smoke Flavor, Spices, Citric Acid, Artificial Flavor, Color [Red 40]), Salt, Monosodium Glutamate (MSG), Artificial Flavor","Calories(120), TotalFat(7), SatFat(2.5g), TransFat(1), Cholesterol(0), Sodium(170mg), TCarbs(14), DietFbr(1),  Tsugar(1), Protein(2), VitA(0), VitC(0),  Calcium(0), Iron(0)",,,,,,,,,,,
